City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,34.7,83,100,4.76,SJ,1701217555
1,chamical,-30.36,-66.314,87.84,40,11,21.25,AR,1701217556
2,borodino,55.9106,94.8983,-13.85,99,39,1.12,RU,1701217558
3,port-aux-francais,-49.35,70.2167,41.83,98,100,22.15,TF,1701217560
4,albany,42.6001,-73.9662,28.51,73,54,5.99,US,1701217561
5,bethel,41.3712,-73.414,32.2,56,0,12.66,US,1701217563
6,severodvinsk,64.5635,39.8302,21.13,94,100,11.88,RU,1701217565
7,ilulissat,69.2167,-51.1,21.22,49,80,24.16,GL,1701217566
8,ola,59.5833,151.2833,9.39,79,100,8.32,RU,1701217568
9,waitangi,-43.9535,-176.5597,57.81,87,90,4.0,NZ,1701217570
10,onega,63.9061,38.1404,20.61,91,100,10.18,RU,1701217571
11,blackmans bay,-43.0167,147.3167,61.52,66,91,3.0,AU,1701217573
12,whitehorse,60.7161,-135.0538,20.17,79,20,3.44,CA,1701217575
13,huayucachi,-12.1333,-75.2333,55.99,78,92,6.82,PE,1701217576
14,bechar,31.6167,-2.2167,48.52,21,0,3.44,DZ,1701217578
15,shitanjing,39.2342,106.3439,11.61,37,2,1.25,CN,1701217580
16,tazovsky,67.4667,78.7,1.56,96,100,8.43,RU,1701217582
17,tiksi,71.6872,128.8694,1.13,91,98,16.96,RU,1701217583
18,beatrice,40.2681,-96.747,39.27,80,0,4.61,US,1701217585
19,north bend,43.4065,-124.2243,56.07,58,0,0.0,US,1701217587
20,port elizabeth,-33.918,25.5701,62.89,82,20,16.11,ZA,1701217588
21,mount gambier,-37.8333,140.7667,60.3,83,100,14.03,AU,1701217590
22,madagali,10.8902,13.6312,75.33,27,2,4.18,NG,1701217592
23,metropolis,37.1512,-88.732,31.14,61,0,0.0,US,1701217594
24,ironwood,46.4547,-90.171,21.81,67,100,9.22,US,1701217596
25,yellowknife,62.456,-114.3525,12.72,92,100,4.61,CA,1701217597
26,el granada,37.5027,-122.4694,64.85,63,100,12.66,US,1701217599
27,puerto natales,-51.7236,-72.4875,42.37,82,52,1.68,CL,1701217601
28,adamstown,-25.066,-130.1015,73.53,86,62,17.25,PN,1701217602
29,kodiak,57.79,-152.4072,38.71,87,100,4.61,US,1701217404
30,kisiwani,-4.1333,37.95,71.02,92,93,0.89,TZ,1701217607
31,petropavlovsk-kamchatsky,53.0452,158.6483,15.46,86,75,11.18,RU,1701217365
32,karratha,-20.7377,116.8463,80.13,41,0,14.14,AU,1701217333
33,omutinskiy,56.4745,67.6709,27.63,82,80,11.61,RU,1701217612
34,isafjordur,66.0755,-23.124,32.72,88,100,3.27,IS,1701217613
35,hamilton,39.1834,-84.5333,24.24,66,0,5.75,US,1701217615
36,puerto ayora,-0.7393,-90.3518,76.55,90,79,11.01,EC,1701217617
37,jamestown,42.097,-79.2353,27.99,95,100,11.5,US,1701217387
38,bandarbeyla,9.4942,50.8122,78.22,68,96,19.46,SO,1701217620
39,thunder bay,48.4001,-89.3168,19.38,86,100,2.3,CA,1701217458
40,hadibu,12.65,54.0333,77.92,72,100,11.27,YE,1701217623
41,umuarama,-23.7664,-53.325,68.94,96,76,3.76,BR,1701217625
42,guilin,25.2819,110.2864,50.11,68,12,2.17,CN,1701217627
43,longyearbyen,78.2186,15.6401,33.64,86,75,4.61,SJ,1701217629
44,margaret river,-33.95,115.0667,66.85,69,1,4.21,AU,1701217632
45,choele choel,-39.2667,-65.6833,77.4,13,70,17.2,AR,1701217633
46,invercargill,-46.4,168.35,53.02,69,87,11.99,NZ,1701217635
47,dunedin,-45.8742,170.5036,55.8,50,16,7.0,NZ,1701217637
48,saint-philippe,-21.3585,55.7679,72.99,78,39,8.63,RE,1701217639
49,kirakira,-10.4544,161.9205,85.08,74,60,7.94,SB,1701217642
50,bredasdorp,-34.5322,20.0403,59.16,71,25,6.55,ZA,1701217644
51,mercedes,-34.6515,-59.4307,79.86,54,54,9.35,AR,1701217646
52,hermanus,-34.4187,19.2345,63.01,68,67,7.4,ZA,1701217648
53,vorgashor,67.5833,63.95,11.03,90,100,6.62,RU,1701217650
54,wailua homesteads,22.0669,-159.378,79.75,79,75,9.22,US,1701217651
55,polyarnyy,69.1989,33.4478,26.19,90,97,14.29,RU,1701217653
56,grytviken,-54.2811,-36.5092,31.44,72,47,9.28,GS,1701217655
57,rio grande,-32.035,-52.0986,71.71,88,17,15.55,BR,1701217657
58,port mathurin,-19.6833,63.4167,71.69,88,40,0.0,MU,1701217658
59,kuanda,56.3161,116.0806,-6.07,92,100,2.95,RU,1701217660
60,badger,64.8,-147.5333,20.35,87,100,3.44,US,1701217662
61,monticello,45.3055,-93.7941,32.32,71,100,6.91,US,1701217664
62,milazzo,38.2212,15.2383,65.57,64,43,8.99,IT,1701217665
63,serowe,-22.3833,26.7167,74.55,24,55,3.6,BW,1701217667
64,psygansu,43.4194,43.7936,31.55,93,100,0.0,RU,1701217669
65,hotan,37.0997,79.9269,34.92,28,26,2.24,CN,1701217670
66,atafu village,-8.5421,-172.5159,81.12,77,100,8.52,TK,1701217672
67,astrakhan,46.3497,48.0408,35.47,100,100,4.47,RU,1701217674
68,brisas de zicatela,15.8369,-97.0419,82.92,57,40,4.61,MX,1701217675
69,ancud,-41.8697,-73.8203,51.44,87,38,14.05,CL,1701217677
70,pandan,14.0453,124.1694,81.16,87,58,14.12,PH,1701217679
71,moberly,39.4184,-92.4382,32.43,59,0,5.75,US,1701217680
72,iqaluit,63.7506,-68.5145,29.93,92,100,17.27,CA,1701217682
73,ushuaia,-54.8,-68.3,47.82,70,40,14.97,AR,1701217642
74,ribeira grande,38.5167,-28.7,65.77,95,100,8.99,PT,1701217685
75,diedorf,48.35,10.7667,32.13,86,75,8.05,DE,1701217687
76,bichura,50.5881,107.6022,3.65,87,100,5.08,RU,1701217689
77,stanley,54.868,-1.6985,33.53,86,40,6.91,GB,1701217690
78,arraial do cabo,-22.9661,-42.0278,75.16,88,75,16.11,BR,1701217692
79,kerikeri,-35.2268,173.9474,73.9,70,65,1.01,NZ,1701217694
80,durban,-29.8579,31.0292,72.52,72,100,25.66,ZA,1701217623
81,boende,-0.2167,20.8667,71.98,97,100,2.73,CD,1701217697
82,dalhart,36.0595,-102.5133,46.38,39,0,9.22,US,1701217491
83,scottsboro,34.6723,-86.0341,38.52,60,0,4.61,US,1701217701
84,alcala del valle,36.9045,-5.1724,47.37,90,44,2.8,ES,1701217702
85,happy valley-goose bay,53.3168,-60.3315,34.11,93,75,0.0,CA,1701217704
86,colonia,50.9333,6.95,35.85,80,75,9.22,DE,1701217481
87,nuku'alofa,-21.1333,-175.2,84.54,89,20,14.97,TO,1701217707
88,severobaykal'sk,55.65,109.3167,6.51,76,11,5.93,RU,1701217709
89,kankauli,16.2667,73.7,72.32,88,37,3.04,IN,1701217711
90,st. john's,47.5649,-52.7093,45.97,96,100,21.85,CA,1701217642
91,malvan,16.0667,73.4667,75.67,84,36,5.41,IN,1701217714
92,kolonia town,6.964,158.206,77.11,94,100,3.44,FM,1701217716
93,goulburn,-34.75,149.7167,66.78,85,100,4.0,AU,1701217718
94,kisangani,0.5167,25.2,70.3,100,100,1.1,CD,1701217719
95,port lincoln,-34.7333,135.8667,62.11,76,76,14.61,AU,1701217721
96,dubreka,9.7911,-13.5233,78.37,76,65,2.04,GN,1701217723
97,vilyuchinsk,52.9306,158.4028,16.93,71,94,4.45,RU,1701217724
98,west island,-12.1568,96.8225,80.58,65,40,13.8,CC,1701217726
99,sisimiut,66.9395,-53.6735,21.85,65,100,14.56,GL,1701217727
100,vernon,50.2581,-119.2691,36.21,60,22,0.0,CA,1701217729
101,puerto baquerizo moreno,-0.9,-89.6,76.23,78,45,16.82,EC,1701217731
102,kavieng,-2.5744,150.7967,83.88,73,99,7.09,PG,1701217732
103,nacala,-14.5428,40.6728,78.67,85,22,6.64,MZ,1701217734
104,kalix,65.853,23.1565,24.46,81,100,18.88,SE,1701217737
105,papatowai,-46.5619,169.4708,52.45,54,87,13.35,NZ,1701217739
106,saint-jean-de-monts,46.7833,-2.0667,49.78,52,97,3.42,FR,1701217740
107,anadyr,64.75,177.4833,23.5,86,40,6.71,RU,1701217742
108,greenville,35.6127,-77.3663,42.96,53,0,0.0,US,1701217564
109,tekirova,36.5017,30.5272,57.92,68,79,4.14,TR,1701217745
110,antalaha,-14.9003,50.2788,74.43,78,63,3.78,MG,1701217747
111,coahuayana de hidalgo,18.7,-103.6583,80.64,73,100,1.79,MX,1701217748
112,mount isa,-20.7333,139.5,92.97,43,1,10.36,AU,1701217496
113,afaahiti,-17.75,-149.2833,82.27,82,100,21.39,PF,1701217752
114,alice springs,-23.7,133.8833,83.75,26,75,9.22,AU,1701217753
115,tura,25.5198,90.2201,63.5,72,77,3.09,IN,1701217755
116,callao,-12.0667,-77.15,72.72,77,20,16.11,PE,1701217724
117,fortuna,40.5982,-124.1573,58.93,63,0,0.0,US,1701217758
118,iskateley,67.6803,53.1512,1.02,95,100,11.01,RU,1701217760
119,kalmunai,7.4167,81.8167,76.12,88,100,4.25,LK,1701217763
120,castillos,-34.1667,-53.8333,65.77,94,46,11.83,UY,1701217765
121,sakakah,29.9697,40.2064,54.97,48,100,7.29,SA,1701217766
122,claveria,18.6074,121.0832,78.22,90,29,12.73,PH,1701217768
123,port isabel,26.0734,-97.2086,64.47,77,100,11.5,US,1701217770
124,praia da vitoria,38.7333,-27.0667,66.76,94,75,11.32,PT,1701217771
125,penalva,-3.2942,-45.1736,78.66,81,36,5.82,BR,1701217773
126,porto novo,6.4965,2.6036,82.22,87,58,6.58,BJ,1701217774
127,beira,-19.8436,34.8389,72.66,92,52,6.53,MZ,1701217778
128,boguchany,58.3814,97.4531,-1.93,93,98,2.62,RU,1701217779
129,arzgir,45.3728,44.2206,36.7,91,49,8.16,RU,1701217781
130,guerrero negro,27.9769,-114.0611,68.2,58,98,10.98,MX,1701217783
131,oranjemund,-28.55,16.4333,60.44,87,65,21.0,NA,1701217784
132,demba,-5.51,22.2667,67.93,99,100,2.04,CD,1701217788
133,laascaanood,8.4774,47.3597,70.09,66,89,2.46,SO,1701217789
134,uturoa,-16.7333,-151.4333,80.19,80,79,20.67,PF,1701217791
135,flying fish cove,-10.4217,105.6791,78.24,68,87,17.96,CX,1701217792
136,natal,-5.795,-35.2094,75.85,94,40,5.75,BR,1701217794
137,newman,37.3138,-121.0208,67.28,30,4,1.01,US,1701217796
138,catarama,-1.5833,-79.4667,79.83,74,90,5.1,EC,1701217797
139,edinburgh of the seven seas,-37.0676,-12.3116,58.17,82,87,16.73,SH,1701217799
140,sao gabriel da cachoeira,-0.1303,-67.0892,74.16,96,100,0.31,BR,1701217801
141,hawaiian paradise park,19.5933,-154.9731,82.87,72,100,14.97,US,1701217804
142,fale old settlement,-9.3852,-171.2468,82.8,73,100,7.65,TK,1701217807
143,embi,48.8264,58.1442,29.8,79,100,16.89,KZ,1701217809
144,chonchi,-42.6128,-73.8092,52.12,86,100,7.02,CL,1701217811
145,island harbour,50.724,-1.2758,40.93,90,97,7.47,GB,1701217812
146,tual,-5.6667,132.75,83.52,70,100,2.66,ID,1701217814
147,vuyyuru,16.3667,80.85,75.33,94,20,6.91,IN,1701217816
148,lihue,21.9789,-159.3672,80.37,74,75,9.22,US,1701217818
149,akureyri,65.6835,-18.0878,31.93,100,100,0.0,IS,1701217820
150,yima,34.7381,111.8839,43.36,35,100,4.27,CN,1701217821
151,phulera,26.8667,75.2333,60.04,63,99,6.04,IN,1701217823
152,lompoc,34.6391,-120.4579,67.01,56,0,6.91,US,1701217825
153,bilibino,68.0546,166.4372,-27.56,100,100,1.34,RU,1701217827
154,barguzin,53.6167,109.6167,2.26,95,94,1.99,RU,1701217829
155,ath thawrah,35.8469,38.5443,49.26,61,21,8.05,SY,1701217831
156,tsiombe,-25.3,45.4833,72.45,97,22,4.59,MG,1701217833
157,tazacorte,28.629,-17.9293,65.37,84,0,7.0,ES,1701217835
158,punta arenas,-53.15,-70.9167,48.31,49,0,12.66,CL,1701217838
159,newberry,34.2746,-81.6187,42.46,80,1,5.61,US,1701217627
160,noshiro,40.2039,140.0242,38.23,63,100,24.36,JP,1701217842
161,turar ryskulov,42.5333,70.3333,55.76,39,100,6.64,KZ,1701217844
162,kimberley,-28.7323,24.7623,69.49,32,100,4.61,ZA,1701217846
163,millington,35.3415,-89.8973,39.7,64,0,0.0,US,1701217848
164,paita,-5.0892,-81.1144,69.93,80,22,15.84,PE,1701217850
165,orsa,54.5153,30.4053,15.04,94,100,8.32,BY,1701217852
166,new norfolk,-42.7826,147.0587,61.72,58,85,7.29,AU,1701217853
167,talnakh,69.4865,88.3972,-10.73,98,33,4.52,RU,1701217855
168,garden city,42.3256,-83.331,26.98,73,75,13.8,US,1701217860
169,enewetak,11.3474,162.3373,82.17,76,100,20.87,MH,1701217862
170,daru,-9.0763,143.2092,87.64,64,69,6.96,PG,1701217864
171,thompson,55.7435,-97.8558,10.56,85,100,2.3,CA,1701217840
172,nova vicosa,-17.8919,-39.3719,76.98,85,16,12.97,BR,1701217869
173,destin,30.3935,-86.4958,53.6,58,0,3.44,US,1701217870
174,marte,12.3611,13.8246,76.73,47,4,10.09,NG,1701217872
175,sandnessjoen,66.0217,12.6316,25.32,68,100,10.98,NO,1701217874
176,lata,40.1629,-8.3327,61.81,97,56,4.59,PT,1701217876
177,sharan,54.8167,54.0,18.32,96,100,6.6,RU,1701217877
178,mata-utu,-13.2816,-176.1745,83.57,78,94,19.15,WF,1701217879
179,valle de la pascua,9.2155,-66.0073,80.76,66,97,7.81,VE,1701217881
180,kapuskasing,49.4169,-82.4331,8.6,85,40,5.75,CA,1701217883
181,anjozorobe,-18.4,47.8667,64.71,79,68,1.68,MG,1701217884
182,keflavik,64.0049,-22.5624,35.51,93,75,10.36,IS,1701217886
183,bardai,11.65,7.2333,72.55,29,13,7.87,NG,1701217888
184,hammerfest,70.6634,23.6821,32.45,69,75,12.66,NO,1701217890
185,laojunmiao,39.8333,97.7333,23.45,58,76,6.29,CN,1701217893
186,chinde,26.8418,88.0763,54.23,64,82,4.16,NP,1701217895
187,georgetown,5.4112,100.3354,78.73,88,20,1.14,MY,1701217818
188,dhidhdhoo,6.8833,73.1,82.96,71,100,4.54,MV,1701217898
189,gillette,44.2911,-105.5022,33.12,56,0,13.8,US,1701217900
190,bikenibeu village,1.3673,173.1241,89.56,66,20,4.61,KI,1701217902
191,halmstad,56.6745,12.8568,19.02,86,75,2.3,SE,1701217905
192,fort bragg,35.139,-79.006,44.15,42,0,3.44,US,1701217907
193,ipora,-16.4419,-51.1178,75.74,64,100,1.79,BR,1701217908
194,mathba,22.2855,89.9629,67.37,70,100,5.28,BD,1701217910
195,conduaga,8.862,117.4893,85.41,64,18,2.46,PH,1701217912
196,corner brook,48.9667,-57.9484,35.76,89,95,12.24,CA,1701217892
197,rongelap,11.1635,166.8941,81.68,77,100,22.68,MH,1701217915
198,sanctuary point,-35.1114,150.629,71.33,89,100,17.0,AU,1701217916
199,sitka,57.0531,-135.33,42.69,75,0,0.0,US,1701217918
200,la ronge,55.1001,-105.2842,34.05,64,0,9.22,CA,1701217920
201,college,64.8569,-147.8028,20.44,79,100,3.44,US,1701217865
202,sarangani,5.4033,125.4636,82.35,80,100,19.77,PH,1701217923
203,al mahwit,15.4701,43.5448,54.68,77,15,2.08,YE,1701217924
204,mejit,10.2753,170.8646,81.18,75,36,18.88,MH,1701217926
205,marat,25.0701,45.4615,61.25,45,9,8.9,SA,1701217928
206,conception bay south,47.4999,-52.9981,45.55,94,100,22.21,CA,1701217929
207,aykhal,66.0,111.5,2.89,94,100,18.03,RU,1701217932
208,karwar,14.8,74.1333,75.87,82,80,5.3,IN,1701217933
209,la'ie,21.6477,-157.9253,82.45,79,33,1.99,US,1701217935
210,xinyuan,37.3,99.0,17.64,35,16,5.3,CN,1701217937
211,knyaze-volkonskoye,48.4642,135.4567,-5.46,92,24,6.73,RU,1701217939
212,udachny,66.4167,112.4,2.44,84,100,22.88,RU,1701217795
213,taoudenni,22.6783,-3.9836,66.85,18,100,7.02,ML,1701217942
214,inebolu,41.9747,33.7608,54.86,58,100,14.72,TR,1701217944
215,northam,51.0333,-4.2167,42.39,95,100,3.02,GB,1701217945
216,kavaratti,10.5669,72.642,83.16,73,100,7.74,IN,1701217947
217,jaguey grande,22.5269,-81.1286,72.37,83,100,9.22,CU,1701217949
218,usinsk,65.9939,57.5281,13.06,89,99,11.99,RU,1701217951
219,tionk essil,12.7856,-16.5217,78.76,72,2,7.45,SN,1701217952
220,mohanpur,28.2667,80.25,62.15,68,41,5.66,IN,1701217954
221,las tablas,7.7667,-80.2833,78.96,87,100,12.57,PA,1701217955
222,tongchuanshi,35.0806,109.0897,33.37,39,100,12.41,CN,1701217957
223,arno,60.1167,18.6333,32.79,88,100,15.75,SE,1701217959
224,harper,4.375,-7.7169,78.75,83,100,4.27,LR,1701217961
225,dawson creek,55.7666,-120.2362,38.84,56,0,19.57,CA,1701217963
226,qaqortoq,60.7167,-46.0333,22.35,63,100,7.99,GL,1701217964
227,ribeira brava,32.65,-17.0667,73.0,80,83,7.4,PT,1701217966
228,plover,44.4564,-89.544,19.15,67,0,7.0,US,1701217968
229,juneau,58.3019,-134.4197,39.2,97,75,0.0,US,1701217809
230,chibougamau,49.9168,-74.3659,17.22,86,100,11.5,CA,1701217913
231,chilliwack,49.1747,-121.9443,41.05,80,100,3.0,CA,1701217972
232,mahina,-17.5065,-149.489,85.77,66,75,6.91,PF,1701217974
233,dakhla,23.6848,-15.958,65.77,70,1,12.48,EH,1701217976
234,mogocha,53.7333,119.7667,-0.24,82,100,3.62,RU,1701217977
235,impfondo,1.6381,18.0667,72.07,98,100,2.59,CG,1701217979
236,griffith,41.5284,-87.4237,20.05,68,0,11.5,US,1701217951
237,nemuro,43.3236,145.575,33.48,59,7,25.75,JP,1701217843
238,alofi,-19.0595,-169.9187,84.09,70,75,10.36,NU,1701217984
239,santa terezinha,-29.9002,-50.0904,67.84,93,100,23.98,BR,1701217985
240,sao jose da coroa grande,-8.8978,-35.1478,77.0,74,14,8.32,BR,1701217989
241,belmonte,-15.8631,-38.8828,76.42,86,1,9.37,BR,1701217990
242,herkimer,43.0256,-74.986,27.81,91,92,11.63,US,1701217992
243,coyhaique,-45.5752,-72.0662,48.15,71,75,5.75,CL,1701217993
244,lushun,38.8,121.2667,26.82,61,62,19.62,CN,1701217995
245,moosinning,48.2833,11.85,32.11,85,75,5.75,DE,1701217998
246,kolpashevo,58.3131,82.9089,11.1,95,97,5.01,RU,1701218000
247,kill devil hills,36.0307,-75.676,44.62,42,0,13.8,US,1701217909
248,phillipsburg,40.6937,-75.1902,31.84,52,6,8.99,US,1701218003
249,foumbot,5.5079,10.6356,65.73,86,52,2.62,CM,1701218005
250,inhambane,-23.865,35.3833,74.3,87,97,8.95,MZ,1701218006
251,papao,-17.75,-149.55,85.68,83,100,24.27,PF,1701218008
252,bengkulu,-3.8004,102.2655,76.42,91,100,2.95,ID,1701218010
253,urengoy,65.9667,78.3667,16.2,95,100,9.91,RU,1701218011
254,mammoth lakes,37.6485,-118.9721,32.72,35,0,8.05,US,1701218013
255,manokwari,-0.8667,134.0833,82.42,72,100,2.62,ID,1701218015
256,eynesil,41.0645,39.1438,51.04,44,100,10.36,TR,1701218016
257,villa huidobro,-34.8383,-64.5869,68.2,92,83,19.86,AR,1701218018
258,chernyshevskiy,63.0128,112.4714,-16.44,93,100,3.4,RU,1701218020
259,lebu,-37.6167,-73.65,52.0,78,0,13.82,CL,1701218021
260,greymouth,-42.4667,171.2,57.45,80,96,7.87,NZ,1701218023
261,pacasmayo,-7.4006,-79.5714,68.36,81,62,14.92,PE,1701218025
262,yaring,6.8662,101.3689,80.29,87,100,15.28,TH,1701218026
263,bubaque,11.2833,-15.8333,82.76,67,0,18.41,GW,1701218028
264,kurchatov,51.6601,35.6521,29.41,96,100,15.35,RU,1701218029
265,horta,38.5333,-28.6333,66.02,96,100,8.01,PT,1701218031
266,north battleford,52.7834,-108.2847,30.29,80,0,3.44,CA,1701217967
267,east london,-33.0153,27.9116,66.04,62,100,23.69,ZA,1701217811
268,charkhi dadri,28.6,76.2667,58.89,71,9,3.58,IN,1701218036
269,hoi an,15.8794,108.335,73.36,90,100,6.58,VN,1701218037
270,carutapera,-1.195,-46.02,77.04,91,2,7.05,BR,1701217965
271,howrah,22.5892,88.3103,71.6,78,20,3.44,IN,1701218040
272,mora,11.0461,14.1401,75.79,27,4,5.68,CM,1701218042
273,kapit,2.0167,112.9333,76.78,94,99,2.01,MY,1701218044
274,cabo san lucas,22.8909,-109.9124,82.71,70,0,4.61,MX,1701217831
275,illizi,26.4833,8.4667,57.0,23,98,3.11,DZ,1701217897
276,basoda,23.85,77.9333,61.03,92,0,2.71,IN,1701218049
277,selfoss,63.9331,-20.9971,32.02,85,100,4.25,IS,1701218050
278,ungsang-nodongjagu,42.3578,130.4622,22.59,43,46,16.8,KP,1701218052
279,bluefields,12.0137,-83.7635,79.14,86,25,9.06,NI,1701218053
280,meads,38.4126,-82.7091,26.42,66,0,1.01,US,1701218055
281,annaba,36.9,7.7667,58.96,82,75,6.91,DZ,1701218057
282,constantia,44.1833,28.65,45.7,83,94,21.36,RO,1701217946
283,susuman,62.7833,148.1667,-15.05,100,100,0.38,RU,1701217858
284,kzyltu,53.6364,72.3414,27.23,81,99,11.07,KZ,1701218062
285,inongo,-1.95,18.2667,71.11,97,96,3.87,CD,1701217768
286,naze,28.3667,129.4833,63.52,54,2,4.43,JP,1701218065
287,saipan,15.1355,145.701,86.7,70,40,17.27,MP,1701218067
288,brazzaville,-4.2658,15.2832,75.51,88,92,1.14,CG,1701218068
289,el soberbio,-27.2985,-54.1988,75.31,99,18,1.83,AR,1701218070
290,oriximina,-1.7656,-55.8661,79.16,75,100,4.81,BR,1701218072
291,berbera,10.4396,45.0143,78.21,72,100,6.53,SO,1701218073
292,lodwar,3.1191,35.5973,82.2,51,43,9.89,KE,1701218075
293,spring creek,40.7266,-115.5859,35.29,70,19,3.67,US,1701218077
294,quellon,-43.1167,-73.6167,51.22,88,100,12.33,CL,1701218078
295,likhoslavl',57.1275,35.464,11.86,98,91,5.12,RU,1701218080
296,marka,1.7159,44.7717,78.67,85,19,11.25,SO,1701218081
297,auna,10.1881,4.7232,77.94,53,15,1.63,NG,1701218083
298,koudougou,12.25,-2.3667,82.8,27,10,7.67,BF,1701218085
299,tangalle,6.024,80.7911,75.36,87,100,3.8,LK,1701218086
300,villa gesell,-37.2639,-56.973,66.31,93,63,19.33,AR,1701218088
301,nuuk,64.1835,-51.7216,36.21,44,100,12.66,GL,1701218090
302,malango,-2.9627,119.9001,75.88,84,100,2.19,ID,1701218091
303,gizo,-8.103,156.8419,83.25,73,100,4.16,SB,1701218093
304,nchelenge,-9.3451,28.734,70.23,89,100,4.59,ZM,1701218094
305,brigantine,39.4101,-74.3646,33.01,54,0,12.66,US,1701218096
306,al jawf,29.5,38.75,54.79,53,100,7.09,SA,1701217932
307,avarua,-21.2078,-159.775,78.85,78,75,17.27,CK,1701218099
308,mersing,2.4312,103.8405,78.71,94,40,4.61,MY,1701218101
309,buala,-8.145,159.5921,84.72,74,100,4.79,SB,1701218103
310,mountain home,43.133,-115.6912,33.28,70,0,8.05,US,1701218092
311,vorkuta,67.5,64.0,12.27,91,100,6.6,RU,1701218106
312,aioun,16.6614,-9.6149,73.74,15,6,9.08,MR,1701217871
313,pacific grove,36.6177,-121.9166,64.08,61,0,8.99,US,1701218112
314,timbiqui,2.7717,-77.6654,76.59,95,100,6.24,CO,1701218113
315,kavarna,43.4333,28.3333,49.57,98,100,20.18,BG,1701218115
316,puri,19.8,85.85,68.52,80,71,6.67,IN,1701218117
317,pemangkat,1.1667,108.9667,81.48,80,41,7.31,ID,1701218118
318,el porvenir,13.7617,-87.3458,78.13,75,67,6.67,HN,1701218122
319,naryshkino,52.9678,35.7268,15.19,92,100,11.1,RU,1701218123
320,ceerigaabo,10.6162,47.368,55.94,32,100,7.31,SO,1701218125
321,guiglo,6.5456,-7.4966,73.02,98,100,2.53,CI,1701218128
322,purcellville,39.1368,-77.7147,28.36,55,40,17.0,US,1701218130
323,volokonovka,50.4827,37.8563,31.33,93,100,12.77,RU,1701218132
324,otaru,43.1894,141.0022,32.58,80,100,26.53,JP,1701218134
325,tahla,34.0485,-4.428,51.33,84,5,2.57,MA,1701218138
326,port blair,11.6667,92.75,82.44,78,75,9.22,IN,1701217992
327,port augusta,-32.5,137.7667,72.27,49,3,15.3,AU,1701218143
328,turpan,42.9333,89.1667,40.32,40,100,2.46,CN,1701218145
329,ouadda,8.0777,22.4007,70.03,37,72,2.77,CF,1701218146
330,az zubayr,30.3945,47.7011,61.0,45,28,12.86,IQ,1701218148
331,moranbah,-22.0016,148.0466,93.22,34,0,12.44,AU,1701218150
332,gwanda,-20.9333,29.0,72.09,33,73,6.11,ZW,1701218151
333,nantucket,41.2835,-70.0995,35.74,46,20,17.27,US,1701218153
